,LL,LPL,D,LM,ACS,CSC,CC,LF,MN,RC,CE,SV,EF,DS,WE,UC,UA,OBI,OVF,OSC,IF,IE,UO,IR,DF
LL,0.0,0.0014433485686793362,0.009562184267500601,0.007757998556651431,0.006134231416887178,0.0,0.017861438537406783,0.004450324753427953,0.022732739956699544,0.0034880923743083954,0.007276882367091652,0.013952369497233582,0.0020447438056290595,0.021229251864325234,0.0015034880923743084,0.0,0.0015636276160692808,0.001082511426509502,0.0,0.0,0.0,0.0027664180899687274,0.0,0.010464277122925187,0.007697859032956459
LPL,0.0014433485686793362,0.0,0.0016839066634592255,0.0,0.0,0.0,0.00463074332451287,0.0,0.005653115227327399,0.0015034880923743084,0.00030069761847486165,0.0030069761847486168,0.0007216742843396681,0.0007818138080346404,0.0,0.0,6.013952369497234e-05,0.0,0.0,0.0004811161895597787,0.0,0.0,0.0,0.0043901852297329805,0.0
D,0.009562184267500601,0.0016839066634592255,0.0,0.005833533798412316,0.011426509502044744,0.0,0.03933124849651191,0.006314649987972095,0.04161655039692086,0.0060139523694972335,0.014914601876353139,0.021048833293240317,0.006074091893192206,0.008118835698821266,0.0038489295164782296,0.0,0.0007216742843396681,0.003187394755833534,6.013952369497234e-05,0.00018041857108491702,0.0,0.002345441424103921,0.0004811161895597787,0.02026701948520568,0.0018041857108491701
LM,0.007757998556651431,0.0,0.005833533798412316,0.0,0.0039692085638681745,0.0,0.011366369978349772,0.0018041857108491701,0.01954534520086601,0.0033076738032234783,0.006314649987972095,0.0074573009381765695,0.002465720471493866,0.015095020447438056,0.0028265576136636997,0.0,0.0015636276160692808,0.0,0.0,0.0,0.0,0.000541255713254751,0.0,0.003788789992783257,0.004991580466682704
ACS,0.006134231416887178,0.0,0.011426509502044744,0.0039692085638681745,0.0,0.0,0.01930478710608612,0.003247534279528506,0.016899206158287227,0.004510464277122925,0.009141207601635795,0.01311041616550397,0.007096463796006735,0.005653115227327399,0.004029348087563146,0.0,0.0037286504690882847,0.0038489295164782296,0.0,0.0,0.0,0.001082511426509502,0.0,0.008419533317296127,0.0030069761847486168
CSC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC,0.017861438537406783,0.00463074332451287,0.03933124849651191,0.011366369978349772,0.01930478710608612,0.0,0.0,0.006495068559057012,0.07818138080346404,0.010404137599230215,0.03596343516959346,0.03812845802261246,0.00799855665143132,0.013591532355063747,0.009321626172720712,0.0,0.0028265576136636997,0.00541255713254751,0.0015034880923743084,0.0009020928554245851,0.0015034880923743084,0.0035482318980033676,0.0004811161895597787,0.031813808034640366,0.0028866971373586723
LF,0.004450324753427953,0.0,0.006314649987972095,0.0018041857108491701,0.003247534279528506,0.0,0.006495068559057012,0.0,0.004751022371902815,0.002165022853019004,0.0064349290353620395,0.004931440942987732,0.00030069761847486165,0.0029468366610536445,0.001623767139764253,0.0,0.00030069761847486165,0.0014433485686793362,0.0,0.0,0.0,0.0,0.0,0.0033076738032234783,0.000541255713254751
MN,0.022732739956699544,0.005653115227327399,0.04161655039692086,0.01954534520086601,0.016899206158287227,0.0,0.07818138080346404,0.004751022371902815,0.0,0.01930478710608612,0.03632427231176329,0.04167668992061583,0.01262929997594419,0.030490738513350973,0.02056771710368054,0.0015034880923743084,0.007156603319701708,0.00463074332451287,0.00024055809477988935,0.0007216742843396681,0.001262929997594419,0.009742602838585518,0.0004811161895597787,0.04937454895357229,0.012388741881164301
RC,0.0034880923743083954,0.0015034880923743084,0.0060139523694972335,0.0033076738032234783,0.004510464277122925,0.0,0.010404137599230215,0.002165022853019004,0.01930478710608612,0.0,0.003187394755833534,0.005893673322107289,0.0036685109453933125,0.004089487611258119,0.006555208082751985,0.00042097666586480637,0.004089487611258119,0.00018041857108491702,0.0,0.0,0.0,0.0,0.0,0.007697859032956459,0.0017440461871541977
CE,0.007276882367091652,0.00030069761847486165,0.014914601876353139,0.006314649987972095,0.009141207601635795,0.0,0.03596343516959346,0.0064349290353620395,0.03632427231176329,0.003187394755833534,0.0,0.012509020928554247,0.008660091412076016,0.007096463796006735,0.006314649987972095,0.0,0.0020447438056290595,0.002525859995188838,6.013952369497234e-05,0.0007216742843396681,0.0015034880923743084,0.0,0.0,0.01617753187394756,0.0018643252345441424
SV,0.013952369497233582,0.0030069761847486168,0.021048833293240317,0.0074573009381765695,0.01311041616550397,0.0,0.03812845802261246,0.004931440942987732,0.04167668992061583,0.005893673322107289,0.012509020928554247,0.0,0.002525859995188838,0.00823911474621121,0.014493625210488333,0.0,0.0007216742843396681,0.002345441424103921,0.0018643252345441424,0.0,0.0012027904738994466,0.0017440461871541977,0.0004811161895597787,0.02754390185229733,0.0030069761847486168
EF,0.0020447438056290595,0.0007216742843396681,0.006074091893192206,0.002465720471493866,0.007096463796006735,0.0,0.00799855665143132,0.00030069761847486165,0.01262929997594419,0.0036685109453933125,0.008660091412076016,0.002525859995188838,0.0,0.005713254751022372,0.0027664180899687274,0.0,0.0019846042819340872,0.0008419533317296127,0.0,0.0,0.0015034880923743084,0.000541255713254751,0.0,0.011667067596824633,0.0019244647582391148
DS,0.021229251864325234,0.0007818138080346404,0.008118835698821266,0.015095020447438056,0.005653115227327399,0.0,0.013591532355063747,0.0029468366610536445,0.030490738513350973,0.004089487611258119,0.007096463796006735,0.00823911474621121,0.005713254751022372,0.0,0.0031272552321385616,0.0,0.003067115708443589,0.0019846042819340872,0.0,0.0,0.0,0.0018041857108491701,0.0,0.010343998075535241,0.00902092855424585
WE,0.0015034880923743084,0.0,0.0038489295164782296,0.0028265576136636997,0.004029348087563146,0.0,0.009321626172720712,0.001623767139764253,0.02056771710368054,0.006555208082751985,0.006314649987972095,0.014493625210488333,0.0027664180899687274,0.0031272552321385616,0.0,0.0,0.0015034880923743084,0.0,0.0,0.0,0.0,0.0,0.0,0.005051719990377676,0.0036083714216983403
UC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015034880923743084,0.00042097666586480637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA,0.0015636276160692808,6.013952369497234e-05,0.0007216742843396681,0.0015636276160692808,0.0037286504690882847,0.0,0.0028265576136636997,0.00030069761847486165,0.007156603319701708,0.004089487611258119,0.0020447438056290595,0.0007216742843396681,0.0019846042819340872,0.003067115708443589,0.0015034880923743084,0.0,0.0,0.001082511426509502,0.0,0.0,0.0,6.013952369497234e-05,0.0,0.003247534279528506,0.0015034880923743084
OBI,0.001082511426509502,0.0,0.003187394755833534,0.0,0.0038489295164782296,0.0,0.00541255713254751,0.0014433485686793362,0.00463074332451287,0.00018041857108491702,0.002525859995188838,0.002345441424103921,0.0008419533317296127,0.0019846042819340872,0.0,0.0,0.001082511426509502,0.0,0.0,0.0,0.0,0.0,0.0,0.003788789992783257,0.0
OVF,0.0,0.0,6.013952369497234e-05,0.0,0.0,0.0,0.0015034880923743084,0.0,0.00024055809477988935,0.0,6.013952369497234e-05,0.0018643252345441424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.013952369497234e-05,0.0
OSC,0.0,0.0004811161895597787,0.00018041857108491702,0.0,0.0,0.0,0.0009020928554245851,0.0,0.0007216742843396681,0.0,0.0007216742843396681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009020928554245851,0.0
IF,0.0,0.0,0.0,0.0,0.0,0.0,0.0015034880923743084,0.0,0.001262929997594419,0.0,0.0015034880923743084,0.0012027904738994466,0.0015034880923743084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012027904738994466,0.0
IE,0.0027664180899687274,0.0,0.002345441424103921,0.000541255713254751,0.001082511426509502,0.0,0.0035482318980033676,0.0,0.009742602838585518,0.0,0.0,0.0017440461871541977,0.000541255713254751,0.0018041857108491701,0.0,0.0,6.013952369497234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0015636276160692808,0.0009622323791195574
UO,0.0,0.0,0.0004811161895597787,0.0,0.0,0.0,0.0004811161895597787,0.0,0.0004811161895597787,0.0,0.0,0.0004811161895597787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,0.010464277122925187,0.0043901852297329805,0.02026701948520568,0.003788789992783257,0.008419533317296127,0.0,0.031813808034640366,0.0033076738032234783,0.04937454895357229,0.007697859032956459,0.01617753187394756,0.02754390185229733,0.011667067596824633,0.010343998075535241,0.005051719990377676,0.0,0.003247534279528506,0.003788789992783257,6.013952369497234e-05,0.0009020928554245851,0.0012027904738994466,0.0015636276160692808,0.0,0.0,0.0027664180899687274
DF,0.007697859032956459,0.0,0.0018041857108491701,0.004991580466682704,0.0030069761847486168,0.0,0.0028866971373586723,0.000541255713254751,0.012388741881164301,0.0017440461871541977,0.0018643252345441424,0.0030069761847486168,0.0019244647582391148,0.00902092855424585,0.0036083714216983403,0.0,0.0015034880923743084,0.0,0.0,0.0,0.0,0.0009622323791195574,0.0,0.0027664180899687274,0.0
